Vietnamese,Anger,Disgust,Fear,Enjoyment,Sadness,Surprise,
đóng tạm,0,0,0,0,0,0,0
đồng thời,0,0,0,0,0,0,0
đồng tính,0,0,0,0,0,0,0
đồng tính luyến ái,0,0,0,0,0,0,0
động vật học,0,0,0,0,0,0,0
đồng ý làm theo,0,0,0,0,0,0,0
đốt cháy,0,0,0,0,0,0,0
đột ngột,0,0,0,0,0,0,0
dư,0,0,0,0,0,0,0
đủ,0,0,0,0,0,0,0
đừ,0,0,0,0,0,0,0
dự bị,0,0,0,0,0,0,0
du khách,0,0,0,0,0,0,0
du lịch,0,0,0,0,0,0,0
dựa,0,0,0,0,0,0,0
đùa bỡn,0,0,0,0,0,0,0
đua đòi,0,0,0,0,0,0,0
đục,0,0,0,0,0,0,0
đực,0,0,0,0,0,0,0
đui,0,0,0,0,0,0,0
đùm bọc,0,0,0,0,0,0,0
dụng,0,0,0,0,0,0,0
đứng,0,0,0,0,0,0,0
dùng để gảy,0,0,0,0,0,0,0
dung dị,0,0,0,0,0,0,0
dửng dưng,0,0,0,0,0,0,0
dựng đứng,0,0,0,0,0,0,0
đùng đùng,0,0,0,0,0,0,0
dựng lên,0,0,0,0,0,0,0
đúng lúc,0,0,0,0,0,0,0
dùng một lần,0,0,0,0,0,0,0
đứng ở một chỗ,0,0,0,0,0,0,0
đúng pháp luật,0,0,0,0,0,0,0
dùng rồi vứt đi,0,0,0,0,0,0,0
đứng thành hàng,0,0,0,0,0,0,0
đúng tiêu chuẩn,0,0,0,0,0,0,0
đứng yên một chỗ,0,0,0,0,0,0,0
được,0,0,0,0,0,0,0
được ban quyền công dân,0,0,0,0,0,0,0
được bao bọc,0,0,0,0,0,0,0
được bầu,0,0,0,0,0,0,0
được bầu chọn,0,0,0,0,0,0,0
được biết rõ,0,0,0,0,0,0,0
được biết tới,0,0,0,0,0,0,0
được bọc,0,0,0,0,0,0,0
được bọc lại,0,0,0,0,0,0,0
được bừa,0,0,0,0,0,0,0
được cài trước,0,0,0,0,0,0,0
được cạo,0,0,0,0,0,0,0
được cắt,0,0,0,0,0,0,0
được cắt nhỏ,0,0,0,0,0,0,0
được cày,0,0,0,0,0,0,0
được cầy,0,0,0,0,0,0,0
được cày bừa,0,0,0,0,0,0,0
được cầy bừa,0,0,0,0,0,0,0
được cày xới,0,0,0,0,0,0,0
được cầy xới,0,0,0,0,0,0,0
được chạm,0,0,0,0,0,0,0
được che,0,0,0,0,0,0,0
được che lại,0,0,0,0,0,0,0
được che phủ,0,0,0,0,0,0,0
được chỉnh,0,0,0,0,0,0,0
được chọn,0,0,0,0,0,0,0
được chuẩn bị,0,0,0,0,0,0,0
được chuyên môn hoá,0,0,0,0,0,0,0
được cưa ngắn,0,0,0,0,0,0,0
được cưng,0,0,0,0,0,0,0
được cứu,0,0,0,0,0,0,0
được cứu giúp,0,0,0,0,0,0,0
được cứu nạn,0,0,0,0,0,0,0
được cứu rỗi,0,0,0,0,0,0,0
được cứu vớt,0,0,0,0,0,0,0
được dâng hiến,0,0,0,0,0,0,0
được đánh dấu,0,0,0,0,0,0,0
được đặt ra,0,0,0,0,0,0,0
được đậy,0,0,0,0,0,0,0
được đề địa chỉ,0,0,0,0,0,0,0
được điều chỉnh,0,0,0,0,0,0,0
được đóng gói,0,0,0,0,0,0,0
được gà,0,0,0,0,0,0,0
được gài,0,0,0,0,0,0,0
được ghi địa chỉ,0,0,0,0,0,0,0
được gia tăng,0,0,0,0,0,0,0
được giảm nhẹ,0,0,0,0,0,0,0
được gói,0,0,0,0,0,0,0
được gói bọc,0,0,0,0,0,0,0
được gói ghém,0,0,0,0,0,0,0
được gói ghém lại,0,0,0,0,0,0,0
được gói lại,0,0,0,0,0,0,0
được hẹn,0,0,0,0,0,0,0
được hẹn gặp,0,0,0,0,0,0,0
được hiến,0,0,0,0,0,0,0
được hiến dâng,0,0,0,0,0,0,0
được hiến tặng,0,0,0,0,0,0,0
được hiểu rõ,0,0,0,0,0,0,0
được hộ tống,0,0,0,0,0,0,0
được hợp,0,0,0,0,0,0,0
được hưởng đặc ân,0,0,0,0,0,0,0
được hưởng đặc quyền,0,0,0,0,0,0,0
được làm cho bớt,0,0,0,0,0,0,0
được làm cho nhẹ đi,0,0,0,0,0,0,0
được lát,0,0,0,0,0,0,0
được mài sắc được làm sắc,0,0,0,0,0,0,0
được mồi,0,0,0,0,0,0,0
được mớm trước,0,0,0,0,0,0,0
được mướn,0,0,0,0,0,0,0
được mướn làm,0,0,0,0,0,0,0
được mướn làm việc,0,0,0,0,0,0,0
được nhận biết,0,0,0,0,0,0,0
được phím,0,0,0,0,0,0,0
được phòng giữ,0,0,0,0,0,0,0
được phủ,0,0,0,0,0,0,0
được quy định,0,0,0,0,0,0,0
được sinh ra,0,0,0,0,0,0,0
được tận dụng,0,0,0,0,0,0,0
được tăng,0,0,0,0,0,0,0
được tăng lên,0,0,0,0,0,0,0
được tạo ra,0,0,0,0,0,0,0
được tạo tác,0,0,0,0,0,0,0
được thắng yên,0,0,0,0,0,0,0
được tháp tùng,0,0,0,0,0,0,0
được thấy,0,0,0,0,0,0,0
được thừa nhận,0,0,0,0,0,0,0
được thuê,0,0,0,0,0,0,0
được thuê làm,0,0,0,0,0,0,0
được thuê làm việc,0,0,0,0,0,0,0
được tìm thấy,0,0,0,0,0,0,0
được tin,0,0,0,0,0,0,0
được trao quyền công dân,0,0,0,0,0,0,0
được trao tặng,0,0,0,0,0,0,0
được trùm,0,0,0,0,0,0,0
được trùm lại,0,0,0,0,0,0,0
được tuyển dụng,0,0,0,0,0,0,0
được ưu đãi,0,0,0,0,0,0,0
được vẽ theo tỉ lệ lớn,0,0,0,0,0,0,0
dưới,0,0,0,0,0,0,0
đuôi,0,0,0,0,0,0,0
dưới bề mặt,0,0,0,0,0,0,0
dưới đất,0,0,0,0,0,0,0
dưới lầu,0,0,0,0,0,0,0
dưới nhà,0,0,0,0,0,0,0
dưới nước,0,0,0,0,0,0,0
dưới quyền,0,0,0,0,0,0,0
dưới tầng,0,0,0,0,0,0,0
đuôi tầu,0,0,0,0,0,0,0
dương,0,0,0,0,0,0,0
đường,0,0,0,0,0,0,0
dưỡng bệnh,0,0,0,0,0,0,0
đường cong,0,0,0,0,0,0,0
dương gian,0,0,0,0,0,0,0
đường hầm,0,0,0,0,0,0,0
đường hàng không,0,0,0,0,0,0,0
dương thế,0,0,0,0,0,0,0
đương thời,0,0,0,0,0,0,0
dương tính,0,0,0,0,0,0,0
dút dát,0,0,0,0,0,0,0
đứt đoạn,0,0,0,0,0,0,0
đứt quãng,0,0,0,0,0,0,0
duy nhất,0,0,0,0,0,0,0
e dè,0,0,0,0,0,0,0
e lệ,0,0,0,0,0,0,0
e ngại,0,0,0,0,0,0,0
elip,0,0,0,0,0,0,0
em,0,0,0,0,0,0,0
eo,0,0,0,0,0,0,0
eo con kiến,0,0,0,0,0,0,0
eo ót,0,0,0,0,0,0,0
eo thon,0,0,0,0,0,0,0
flash-frozen,0,0,0,0,0,0,0
frozen,0,0,0,0,0,0,0
gạch,0,0,0,0,0,0,0
gai,0,0,0,0,0,0,0
gan,0,0,0,0,0,0,0
gàn,0,0,0,0,0,0,0
gần,0,0,0,0,0,0,0
gần đây nhất,0,0,0,0,0,0,0
gần hũi,0,0,0,0,0,0,0
gần kề,0,0,0,0,0,0,0
gần nhất,0,0,0,0,0,0,0
gần nhau,0,0,0,0,0,0,0
gần xích đạo,0,0,0,0,0,0,0
gang thép,0,0,0,0,0,0,0
gập,0,0,0,0,0,0,0
gấp ba,0,0,0,0,0,0,0
gấp ba lần,0,0,0,0,0,0,0
gấp đôi,0,0,0,0,0,0,0
gấp hai,0,0,0,0,0,0,0
gấp hai lần,0,0,0,0,0,0,0
gấp mười,0,0,0,0,0,0,0
gấp mười lần,0,0,0,0,0,0,0
gãy,0,0,0,0,0,0,0
gậy,0,0,0,0,0,0,0
gây gổ,0,0,0,0,0,0,0
gây ngạt,0,0,0,0,0,0,0
gây nghẹt,0,0,0,0,0,0,0
gây phấn khích,0,0,0,0,0,0,0
gây tê,0,0,0,0,0,0,0
ghế dài,0,0,0,0,0,0,0
ghép,0,0,0,0,0,0,0
ghép đôi,0,0,0,0,0,0,0
gỉ,0,0,0,0,0,0,0
già,0,0,0,0,0,0,0
giả,0,0,0,0,0,0,0
giả định,0,0,0,0,0,0,0
giá đồ,0,0,0,0,0,0,0
già đời,0,0,0,0,0,0,0
già giặn,0,0,0,0,0,0,0
giả mạo,0,0,0,0,0,0,0
gia nhập,0,0,0,0,0,0,0
gia súc,0,0,0,0,0,0,0
gia trưởng,0,0,0,0,0,0,0
giã từ,0,0,0,0,0,0,0
giai cấp tư sản,0,0,0,0,0,0,0
giải đấu,0,0,0,0,0,0,0
giai đoạn cuối,0,0,0,0,0,0,0
giai đoạn đầu,0,0,0,0,0,0,0
giải tán,0,0,0,0,0,0,0
giám mục,0,0,0,0,0,0,0
giảm sốt,0,0,0,0,0,0,0
gián đoạn,0,0,0,0,0,0,0
gian khó,0,0,0,0,0,0,0
giản tiện,0,0,0,0,0,0,0
gián tiếp,0,0,0,0,0,0,0
giáng,0,0,0,0,0,0,0
giao cho,0,0,0,0,0,0,0
giáo khu,0,0,0,0,0,0,0
giáo lý,0,0,0,0,0,0,0
giao thông,0,0,0,0,0,0,0
giáp,0,0,0,0,0,0,0
giáp lá cà,0,0,0,0,0,0,0
giàu,0,0,0,0,0,0,0
giàu có,0,0,0,0,0,0,0
giấu diếm,0,0,0,0,0,0,0
giấu kín,0,0,0,0,0,0,0
giấu tên,0,0,0,0,0,0,0
giàu thông tin,0,0,0,0,0,0,0
giày ống,0,0,0,0,0,0,0
gió,0,0,0,0,0,0,0
giới dục,0,0,0,0,0,0,0
giới hạn,0,0,0,0,0,0,0
giòn,0,0,0,0,0,0,0
giống,0,0,0,0,0,0,0
giọng,0,0,0,0,0,0,0
giống anh em,0,0,0,0,0,0,0
giống cái,0,0,0,0,0,0,0
giống chó,0,0,0,0,0,0,0
giống đất,0,0,0,0,0,0,0
giống đực,0,0,0,0,0,0,0
giống hề,0,0,0,0,0,0,0
giống hệt nhau,0,0,0,0,0,0,0
giống lính,0,0,0,0,0,0,0
giống người,0,0,0,0,0,0,0
giống như chị em,0,0,0,0,0,0,0
giống phôi,0,0,0,0,0,0,0
giống sừng,0,0,0,0,0,0,0
giống trung,0,0,0,0,0,0,0
giữ,0,0,0,0,0,0,0
giữ nguyên,0,0,0,0,0,0,0
giữ trọn,0,0,0,0,0,0,0
giữa,0,0,0,0,0,0,0
giục,0,0,0,0,0,0,0
giường ngủ,0,0,0,0,0,0,0
gỗ,0,0,0,0,0,0,0
goá,0,0,0,0,0,0,0
góc,0,0,0,0,0,0,0
góc cạnh,0,0,0,0,0,0,0
góc lõm,0,0,0,0,0,0,0
gốc rễ,0,0,0,0,0,0,0
gọi là mềm,0,0,0,0,0,0,0
gợi tình,0,0,0,0,0,0,0
gồm cả,0,0,0,0,0,0,0
gọn ghẽ,0,0,0,0,0,0,0
gợn sóng,0,0,0,0,0,0,0
gộp,0,0,0,0,0,0,0
gộp cả,0,0,0,0,0,0,0
gục xuống,0,0,0,0,0,0,0
há,0,0,0,0,0,0,0
hạ,0,0,0,0,0,0,0
hạ sốt,0,0,0,0,0,0,0
hạ thế,0,0,0,0,0,0,0
hắc,0,0,0,0,0,0,0
hắc búa,0,0,0,0,0,0,0
hai,0,0,0,0,0,0,0
hai chân,0,0,0,0,0,0,0
hai chiều,0,0,0,0,0,0,0
hai cực,0,0,0,0,0,0,0
hai hướng,0,0,0,0,0,0,0
hai mặt,0,0,0,0,0,0,0
hai mươi,0,0,0,0,0,0,0
hải ngoại,0,0,0,0,0,0,0
hai tính,0,0,0,0,0,0,0
hai tuần một lần,0,0,0,0,0,0,0
hàm mũ,0,0,0,0,0,0,0
hạn,0,0,0,0,0,0,0
hạn định,0,0,0,0,0,0,0
han gỉ,0,0,0,0,0,0,0
han rỉ,0,0,0,0,0,0,0
hăng,0,0,0,0,0,0,0
hàng đầu,0,0,0,0,0,0,0
hàng đêm,0,0,0,0,0,0,0
hằng đêm,0,0,0,0,0,0,0
hăng hắc,0,0,0,0,0,0,0
hạng hai,0,0,0,0,0,0,0
hàng không,0,0,0,0,0,0,0
hàng loạt,0,0,0,0,0,0,0
hàng năm,0,0,0,0,0,0,0
hạng nặng,0,0,0,0,0,0,0
hàng ngày,0,0,0,0,0,0,0
hạng nhì,0,0,0,0,0,0,0
hàng tháng,0,0,0,0,0,0,0
hàng tuần,0,0,0,0,0,0,0
hằng tuần,0,0,0,0,0,0,0
hành lý,0,0,0,0,0,0,0
hão,0,0,0,0,0,0,0
hảo hạng,0,0,0,0,0,0,0
hào hiệp,0,0,0,0,0,0,0
hão huyền,0,0,0,0,0,0,0
hấp hối,0,0,0,0,0,0,0
hạt,0,0,0,0,0,0,0
hậu,0,0,0,0,0,0,0
háu ăn,0,0,0,0,0,0,0
hậu hĩnh,0,0,0,0,0,0,0
hậu kì,0,0,0,0,0,0,0
hậu trường,0,0,0,0,0,0,0
hay,0,0,0,0,0,0,0
hay càu nhàu,0,0,0,0,0,0,0
hay chữ,0,0,0,0,0,0,0
hay đẹp,0,0,0,0,0,0,0
hay đòi hỏi,0,0,0,0,0,0,0
hay gây sự,0,0,0,0,0,0,0
hay nghịch,0,0,0,0,0,0,0
hay thành sự thật,0,0,0,0,0,0,0
hệ trọng,0,0,0,0,0,0,0
hếch,0,0,0,0,0,0,0
heo rừng,0,0,0,0,0,0,0
hẹp,0,0,0,0,0,0,0
hết,0,0,0,0,0,0,0
hệt,0,0,0,0,0,0,0
hết hi vọng,0,0,0,0,0,0,0
hết sữa,0,0,0,0,0,0,0
hết sức,0,0,0,0,0,0,0
hết thảy,0,0,0,0,0,0,0
hiểm,0,0,0,0,0,0,0
hiếm có,0,0,0,0,0,0,0
hiếm thấy,0,0,0,0,0,0,0
hiểm yếu,0,0,0,0,0,0,0
hiện có,0,0,0,0,0,0,0
hiện còn,0,0,0,0,0,0,0
hiện diện,0,0,0,0,0,0,0
hiện hữu,0,0,0,0,0,0,0
hiện nay,0,0,0,0,0,0,0
hiển nhiên,0,0,0,0,0,0,0
hiện tại,0,0,0,0,0,0,0
hiện thời,0,0,0,0,0,0,0
hiểu được,0,0,0,0,0,0,0
hiếu kì,0,0,0,0,0,0,0
hiệu nghiệm,0,0,0,0,0,0,0
hiệu sách,0,0,0,0,0,0,0
hình bán nguyệt,0,0,0,0,0,0,0
hình cầu,0,0,0,0,0,0,0
hình chóp,0,0,0,0,0,0,0
hình cột,0,0,0,0,0,0,0
hình cung,0,0,0,0,0,0,0
hình khuyên,0,0,0,0,0,0,0
hình nón,0,0,0,0,0,0,0
hình ống,0,0,0,0,0,0,0
hình sao,0,0,0,0,0,0,0
hình sin,0,0,0,0,0,0,0
hình thuôn,0,0,0,0,0,0,0
hình trụ,0,0,0,0,0,0,0
hịt,0,0,0,0,0,0,0
hở,0,0,0,0,0,0,0
họ hàng bà con,0,0,0,0,0,0,0
hổ lốn,0,0,0,0,0,0,0
hồ nghi,0,0,0,0,0,0,0
hổ phách,0,0,0,0,0,0,0
hở vai,0,0,0,0,0,0,0
hoà âm,0,0,0,0,0,0,0
hoa cẩm chướng,0,0,0,0,0,0,0
hóa đơn,0,0,0,0,0,0,0
hoa lệ,0,0,0,0,0,0,0
hoa mắt,0,0,0,0,0,0,0
hoa mĩ,0,0,0,0,0,0,0
họa sĩ,0,0,0,0,0,0,0
hoà tan,0,0,0,0,0,0,0
hoài cổ,0,0,0,0,0,0,0
hoàn chỉnh,0,0,0,0,0,0,0
hoàn toàn,0,0,0,0,0,0,0
hoán vị,0,0,0,0,0,0,0
hoàng đạo,0,0,0,0,0,0,0
hoang đường,0,0,0,0,0,0,0
hoang phí,0,0,0,0,0,0,0
hoang toàng,0,0,0,0,0,0,0
hoạt động,0,0,0,0,0,0,0
hoạt động vào ban ngày],0,0,0,0,0,0,0
hoạt tính,0,0,0,0,0,0,0
hối,0,0,0,0,0,0,0
hơi cay,0,0,0,0,0,0,0
hối lỗi,0,0,0,0,0,0,0
hơi mặn,0,0,0,0,0,0,0
hơi mềm,0,0,0,0,0,0,0
hội nghị,0,0,0,0,0,0,0
hơi sốt,0,0,0,0,0,0,0
hơi trắng,0,0,0,0,0,0,0
hơi xanh,0,0,0,0,0,0,0
hợm,0,0,0,0,0,0,0
hợm hĩnh,0,0,0,0,0,0,0
hợm mình,0,0,0,0,0,0,0
hồn,0,0,0,0,0,0,0
hôn mê,0,0,0,0,0,0,0
hơn mười lần,0,0,0,0,0,0,0
hơn nửa,0,0,0,0,0,0,0
hồn phách,0,0,0,0,0,0,0
hồn vía,0,0,0,0,0,0,0
hông,0,0,0,0,0,0,0
hợp chất,0,0,0,0,0,0,0
hợp hiến,0,0,0,0,0,0,0
hợp kim,0,0,0,0,0,0,0
hợp lôgic,0,0,0,0,0,0,0
hợp quy chuẩn,0,0,0,0,0,0,0
hợp thành,0,0,0,0,0,0,0
hợp với kinh điển,0,0,0,0,0,0,0
hợp với lô-gích,0,0,0,0,0,0,0
hợp với những quy tắc,0,0,0,0,0,0,0
hột,0,0,0,0,0,0,0
hư ảo,0,0,0,0,0,0,0
hứa,0,0,0,0,0,0,0
huấn luyện,0,0,0,0,0,0,0
hùng hồn,0,0,0,0,0,0,0
hùng mạnh khác thường,0,0,0,0,0,0,0
hướng đông,0,0,0,0,0,0,0
hương hồn,0,0,0,0,0,0,0
hướng lên,0,0,0,0,0,0,0
hướng nam,0,0,0,0,0,0,0
hướng tâm,0,0,0,0,0,0,0
hướng xuống,0,0,0,0,0,0,0
hút,0,0,0,0,0,0,0
hụt,0,0,0,0,0,0,0
hút nước,0,0,0,0,0,0,0
hữu cơ,0,0,0,0,0,0,0
hữu danh,0,0,0,0,0,0,0
hữu hạn,0,0,0,0,0,0,0
hữu hiệu,0,0,0,0,0,0,0
hữu hình,0,0,0,0,0,0,0
hữu sắc,0,0,0,0,0,0,0
hữu sinh,0,0,0,0,0,0,0
huỷ,0,0,0,0,0,0,0
huỷ bỏ,0,0,0,0,0,0,0
huy chương đồng,0,0,0,0,0,0,0
huyền,0,0,0,0,0,0,0
huyện,0,0,0,0,0,0,0
huyền ảo,0,0,0,0,0,0,0
huyền viễn,0,0,0,0,0,0,0
huỳnh quang,0,0,0,0,0,0,0
hydrat hoá,0,0,0,0,0,0,0
hydrate hoá,0,0,0,0,0,0,0
im,0,0,0,0,0,0,0
ing tai,0,0,0,0,0,0,0
ion,0,0,0,0,0,0,0
ít,0,0,0,0,0,0,0
ít có,0,0,0,0,0,0,0
ít đòi hỏi,0,0,0,0,0,0,0
ít hơn,0,0,0,0,0,0,0
ít nhất,0,0,0,0,0,0,0
ít nói,0,0,0,0,0,0,0
ít tầng,0,0,0,0,0,0,0
ít tuổi,0,0,0,0,0,0,0
kê,0,0,0,0,0,0,0
kế,0,0,0,0,0,0,0
kề,0,0,0,0,0,0,0
kề bên,0,0,0,0,0,0,0
kể cả,0,0,0,0,0,0,0
kế cận,0,0,0,0,0,0,0
kề cạnh,0,0,0,0,0,0,0
kế đến,0,0,0,0,0,0,0
kế liền,0,0,0,0,0,0,0
kế nhau,0,0,0,0,0,0,0
kế nhiệm,0,0,0,0,0,0,0
kế tiếp,0,0,0,0,0,0,0
kem,0,0,0,0,0,0,0
kèm,0,0,0,0,0,0,0
kém phát triển,0,0,0,0,0,0,0
kèm thêm,0,0,0,0,0,0,0
kèm theo,0,0,0,0,0,0,0
ken cứng,0,0,0,0,0,0,0
kèn túi,0,0,0,0,0,0,0
keo,0,0,0,0,0,0,0
kéo dài,0,0,0,0,0,0,0
kéo dài ra,0,0,0,0,0,0,0
kép,0,0,0,0,0,0,0
kết dính,0,0,0,0,0,0,0
kết luận,0,0,0,0,0,0,0
kết nối,0,0,0,0,0,0,0
kết tinh,0,0,0,0,0,0,0
kết tụ,0,0,0,0,0,0,0
khả dĩ,0,0,0,0,0,0,0
khả kiến,0,0,0,0,0,0,0
khả lường,0,0,0,0,0,0,0
khá mềm,0,0,0,0,0,0,0
khả nghi,0,0,0,0,0,0,0
khá nhiều,0,0,0,0,0,0,0
khả phân,0,0,0,0,0,0,0
khả tách,0,0,0,0,0,0,0
khả thi,0,0,0,0,0,0,0
khả thủ,0,0,0,0,0,0,0
khác,0,0,0,0,0,0,0
khắc,0,0,0,0,0,0,0
khác gốc,0,0,0,0,0,0,0
khác nhau,0,0,0,0,0,0,0
khác thể,0,0,0,0,0,0,0
khác trứng,0,0,0,0,0,0,0
khác xa,0,0,0,0,0,0,0
khác xa kết quả tìm kiếm,0,0,0,0,0,0,0
khách,0,0,0,0,0,0,0
khách hàng,0,0,0,0,0,0,0
khách quan,0,0,0,0,0,0,0
khan,0,0,0,0,0,0,0
khăn,0,0,0,0,0,0,0
khẩn,0,0,0,0,0,0,0
khăn đống,0,0,0,0,0,0,0
khăn tắm,0,0,0,0,0,0,0
kháng cáo,0,0,0,0,0,0,0
kháng sinh,0,0,0,0,0,0,0
kháng virus,0,0,0,0,0,0,0
khánh kiệt,0,0,0,0,0,0,0
khánh tận,0,0,0,0,0,0,0
khảo cổ,0,0,0,0,0,0,0
khấp khểnh,0,0,0,0,0,0,0
khắp nơi,0,0,0,0,0,0,0
khát,0,0,0,0,0,0,0
khát máu,0,0,0,0,0,0,0
khát nước,0,0,0,0,0,0,0
khẩu độ,0,0,0,0,0,0,0
khẽ,0,0,0,0,0,0,0
khe hở,0,0,0,0,0,0,0
khe khẽ,0,0,0,0,0,0,0
khen thưởng,0,0,0,0,0,0,0
khép kín,0,0,0,0,0,0,0
khép lại,0,0,0,0,0,0,0
khét tiếng,0,0,0,0,0,0,0
khêu gợi,0,0,0,0,0,0,0
khí quyển,0,0,0,0,0,0,0
khía,0,0,0,0,0,0,0
khiếm thị,0,0,0,0,0,0,0
khiêu khích,0,0,0,0,0,0,0
khít,0,0,0,0,0,0,0
khít nhau,0,0,0,0,0,0,0
khô,0,0,0,0,0,0,0
khổ,0,0,0,0,0,0,0
kho bạc,0,0,0,0,0,0,0
khó cầm,0,0,0,0,0,0,0
khó cảm thấy,0,0,0,0,0,0,0
khô cạn,0,0,0,0,0,0,0
khó chở,0,0,0,0,0,0,0
khó có thể,0,0,0,0,0,0,0
khô cứng,0,0,0,0,0,0,0
khó đoán định,0,0,0,0,0,0,0
khó giao tiếp,0,0,0,0,0,0,0
khó giữ,0,0,0,0,0,0,0
khó kiểm soát,0,0,0,0,0,0,0
khó nắm,0,0,0,0,0,0,0
khô nẻ,0,0,0,0,0,0,0
khó nhọc,0,0,0,0,0,0,0
khô nứt nẻ,0,0,0,0,0,0,0
khô nứt ra,0,0,0,0,0,0,0
khó sử dụng,0,0,0,0,0,0,0
khó vận chuyển,0,0,0,0,0,0,0
kho vũ khí,0,0,0,0,0,0,0
khô xác ra,0,0,0,0,0,0,0
khoá,0,0,0,0,0,0,0
khóa nòng,0,0,0,0,0,0,0
khoái,0,0,0,0,0,0,0
khoái chí,0,0,0,0,0,0,0
khoái trá,0,0,0,0,0,0,0
khoằm,0,0,0,0,0,0,0
khoan liều,0,0,0,0,0,0,0
khoáng,0,0,0,0,0,0,0
khoảng,0,0,0,0,0,0,0
khoáng đạt,0,0,0,0,0,0,0
khoe,0,0,0,0,0,0,0
khoẻ,0,0,0,0,0,0,0
khoẻ hơn,0,0,0,0,0,0,0
khoẻ mạnh,0,0,0,0,0,0,0
khoẻ mạnh hơn,0,0,0,0,0,0,0
khởi động,0,0,0,0,0,0,0
khôn cùng,0,0,0,0,0,0,0
khôn kể xiết,0,0,0,0,0,0,0
khôn lanh,0,0,0,0,0,0,0
khôn lường,0,0,0,0,0,0,0
khôn xiết,0,0,0,0,0,0,0
không,0,0,0,0,0,0,0
không ai để ý,0,0,0,0,0,0,0
không ai thấy,0,0,0,0,0,0,0
không an cư,0,0,0,0,0,0,0
không âu yếm,0,0,0,0,0,0,0
không bằng lòng,0,0,0,0,0,0,0
không bao hàm,0,0,0,0,0,0,0
không bão hoà,0,0,0,0,0,0,0
không bắt chéo,0,0,0,0,0,0,0
không bắt chước,0,0,0,0,0,0,0
không bất ngờ,0,0,0,0,0,0,0
không bẻ cong được,0,0,0,0,0,0,0
không bến bờ,0,0,0,0,0,0,0
không béo,0,0,0,0,0,0,0
không bị bác bỏ,0,0,0,0,0,0,0
không bị biến đổi,0,0,0,0,0,0,0
không bị cạn,0,0,0,0,0,0,0
không bị chặn lại,0,0,0,0,0,0,0
không bị đảo,0,0,0,0,0,0,0
không bị đóng băng,0,0,0,0,0,0,0
không bị đóng cứng,0,0,0,0,0,0,0
không bị ép buộc,0,0,0,0,0,0,0
không bị gián đoạn,0,0,0,0,0,0,0
không bị khám phá,0,0,0,0,0,0,0
không bị khuấy,0,0,0,0,0,0,0
không bị khuấy đảo,0,0,0,0,0,0,0
không bị kiểm soát,0,0,0,0,0,0,0
không bị lắc,0,0,0,0,0,0,0
không bị nén lại,0,0,0,0,0,0,0
không bị ngăn chặn,0,0,0,0,0,0,0
không bị nghẽn,0,0,0,0,0,0,0
không bị ô uế,0,0,0,0,0,0,0
không bị phản đối,0,0,0,0,0,0,0
không bị phát giác,0,0,0,0,0,0,0
không bị phát hiện,0,0,0,0,0,0,0
không bị ràng buộc,0,0,0,0,0,0,0
không bị tắc,0,0,0,0,0,0,0
không bị thương,0,0,0,0,0,0,0
không bị trở ngại,0,0,0,0,0,0,0
không bị trói buộc,0,0,0,0,0,0,0
không biến điệu,0,0,0,0,0,0,0
không biến thể,0,0,0,0,0,0,0
không biết bao nhiêu mà kể,0,0,0,0,0,0,0
không biết một cách dứt khoát,0,0,0,0,0,0,0
không biết rõ ràng,0,0,0,0,0,0,0
không bình thường,0,0,0,0,0,0,0
không bờ bến,0,0,0,0,0,0,0
không bọc sắt,0,0,0,0,0,0,0
không bọc thép,0,0,0,0,0,0,0
không bối rối,0,0,0,0,0,0,0
không bớt,0,0,0,0,0,0,0
không buông lỏng,0,0,0,0,0,0,0
không cãi được,0,0,0,0,0,0,0
không cấm bán rượu,0,0,0,0,0,0,0
không cảm nhận được,0,0,0,0,0,0,0
không cần đến,0,0,0,0,0,0,0
không cân đối,0,0,0,0,0,0,0
không cần thiết,0,0,0,0,0,0,0
không cân xứng,0,0,0,0,0,0,0
không căng,0,0,0,0,0,0,0
không cánh,0,0,0,0,0,0,0
không cành,0,0,0,0,0,0,0
không cạnh tranh,0,0,0,0,0,0,0
không cập nhật,0,0,0,0,0,0,0
không cấp trước cho một người nhất định,0,0,0,0,0,0,0
không cắt,0,0,0,0,0,0,0
không chắc chắn,0,0,0,0,0,0,0
không chắc có,0,0,0,0,0,0,0
không chắc có thực,0,0,0,0,0,0,0
không chân,0,0,0,0,0,0,0
không chấp nhận được,0,0,0,0,0,0,0
không chặt,0,0,0,0,0,0,0
không chặt chẽ,0,0,0,0,0,0,0
không chê vào đâu được,0,0,0,0,0,0,0
không chết,0,0,0,0,0,0,0
không chia giáo phái,0,0,0,0,0,0,0
không chìm được,0,0,0,0,0,0,0
không chính thức,0,0,0,0,0,0,0
không chịu phục tùng,0,0,0,0,0,0,0
không chịu tuân theo,0,0,0,0,0,0,0
không chịu vâng lời,0,0,0,0,0,0,0
không chống lại được,0,0,0,0,0,0,0
không chủ động,0,0,0,0,0,0,0
không chủ tâm,0,0,0,0,0,0,0
không chủ trương cấm rượu,0,0,0,0,0,0,0
không chuẩn,0,0,0,0,0,0,0
không chuẩn bị,0,0,0,0,0,0,0
không chuẩn bị trước,0,0,0,0,0,0,0
không chút gì,0,0,0,0,0,0,0
không chút nào,0,0,0,0,0,0,0
không chuyên,0,0,0,0,0,0,0
không chuyên biệt,0,0,0,0,0,0,0
